Country Name,Country Code,Series Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total GDP
Kazakhstan,KAZ,GDP (current US$),2.08E+11,2.37E+11,2.21E+11,1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.82E+11,1.71E+11,1.97E+11,1.88E+12
Kenya,KEN,GDP (current US$),56396706006,61671425370,68285768554,70120413329,74815121315,82035800868,92202956321,1.00E+11,1.01E+11,1.10E+11,8.17E+11
Kiribati,KIR,GDP (current US$),189630151.2,184550782,177862267.9,170291037.5,178509812.7,188192060.1,196230573.8,177935349.3,180911843.6,207031250,1851145128
"Korea, Dem. People's Rep.",PRK,GDP (current US$),0,0,0,0,0,0,0,0,0,0,0
"Korea, Rep.",KOR,GDP (current US$),1.28E+12,1.37E+12,1.48E+12,1.47E+12,1.50E+12,1.62E+12,1.72E+12,1.65E+12,1.64E+12,1.81E+12,1.55E+13
Kosovo,XKX,GDP (current US$),6163785173,6735731173,7074657898,6295820482,6682832632,7180813376,7878508503,7899879086,7716925356,9412034299,73040987978
Kuwait,KWT,GDP (current US$),1.74E+11,1.74E+11,1.63E+11,1.15E+11,1.09E+11,1.21E+11,1.38E+11,1.36E+11,1.06E+11,0,1.24E+12
Kyrgyz Republic,KGZ,GDP (current US$),6605139933,7335027592,7468096567,6678178340,6813092066,7702934800,8271108638,8871026074,7780874537,8543423503,76068902050
Lao PDR,LAO,GDP (current US$),10192848926,11983252611,13279248479,14426381187,15912495369,17071162084,18141651381,18740559554,18981800705,18827148510,1.58E+11
Latvia,LVA,GDP (current US$),28169902669,30204783462,31386896487,27263090547,28083597512,30483806018,34429023435,34343961073,34601740323,39853501580,3.19E+11
Lebanon,LBN,GDP (current US$),44016799516,46880103081,48095213746,49929337837,51147308774,53027680686,54901519156,51953744530,31712128254,23131940281,4.55E+11
Lesotho,LSO,GDP (current US$),2477702253,2367113170,2441053176,2359759799,2114428033,2306741845,2553495916,2453980835,2231214507,2496134680,23801624214
Liberia,LBR,GDP (current US$),2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982500,3509000000,32501996600
Libya,LBY,GDP (current US$),92538004280,75350633011,57372445772,48717854040,49910960875,67158415842,76684175824,69252306372,50357312595,42817472975,6.30E+11
Liechtenstein,LIE,GDP (current US$),5456009385,6391735894,6657170923,6268391521,6237264055,6474256119,6692504346,6427248943,6113951012,0,56718532198
Lithuania,LTU,GDP (current US$),42927454291,46523420074,48533659592,41435533340,43047309306,47758736932,53751411409,54751510088,56846622904,66445256585,5.02E+11
Luxembourg,LUX,GDP (current US$),59776383527,65203276467,68804811898,60071584216,62216885436,65712180343,71000359760,69825641851,73992591285,85506243834,6.82E+11
"Macao SAR, China",MAC,GDP (current US$),43189526778,51536304808,54903031138,45047964934,45070605746,50440941939,55284360483,55204758070,25459563655,30123914809,4.56E+11
Madagascar,MDG,GDP (current US$),11578974888,12423555269,12522957228,11323020829,11848613735,13176313594,13760033097,14104664515,13051441059,14472603323,1.28E+11
Malawi,MWI,GDP (current US$),6028487929,5518880769,6047813437,6373212641,5433040160,8943543677,9880675786,11025371147,12182348213,12626717492,84060091251
Malaysia,MYS,GDP (current US$),3.14E+11,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,3.37E+11,3.73E+11,3.33E+12
Maldives,MDV,GDP (current US$),2886170572,3295011382,3697351597,4109424800,4379136462,4754175869,5300962660,5609400722,3746321936,5405576236,43183532236
Mali,MLI,GDP (current US$),12442036265,13242691430,14364937997,13104764334,14026048691,15365711725,17070866299,17280251194,17465392916,19140461606,1.54E+11
Malta,MLT,GDP (current US$),9462289606,10551600478,11626278730,11091423499,11668253265,13489380931,15298771847,15725847979,14933066819,17364044944,1.31E+11
Marshall Islands,MHL,GDP (current US$),179855800,185468000,185172900,182997300,200716000,212701200,219330300,232092300,241722400,259538700,2099594900
Mauritania,MRT,GDP (current US$),6728208836,7223063170,6592537782,6166857629,6398738829,6800141922,7473550557,8066126312,8405491202,9996249658,73850965897
Mauritius,MUS,GDP (current US$),11668685524,12292957324,13074137210,12007291046,12594149441,13713509312,14735695931,14436353898,11401050655,11529042672,1.27E+11
Mexico,MEX,GDP (current US$),1.20E+12,1.27E+12,1.32E+12,1.17E+12,1.08E+12,1.16E+12,1.22E+12,1.27E+12,1.09E+12,1.27E+12,1.21E+13
"Micronesia, Fed. Sts.",FSM,GDP (current US$),327248700,317214400,319271200,316489900,332265200,366666800,401932300,412000000,408000000,404028900,3605117400
Moldova,MDA,GDP (current US$),8709138765,9496717702,9510198962,7745241913,8071469355,9669741744,11457443185,11971345003,11859730544,13679221333,1.02E+11
